id,date,category,title,lastEditedDate,image,url,summary
15b49157-ae59-4957-993d-a8d6765869c9,20240620,知识库精选,知识库精选- 6 月 20 日,2024-06-21T01:53:26.962Z,"https://assets.waytoagi.com/usercontent/Xnapper_2024_06_20_09_34_59_d00944dd49.png?t=15b49157-ae59-4957-993d-a8d6765869c9&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240620,"1. Ilya Sutskever 成立新公司 SSI，专注于安全超级智能。
2. Hinton官宣加盟英国AI新材料公司CuspAI，出任顾问
3. 【深度揭秘】AI 幻觉背后的技术真相与应对策略，探索人工智能的未来"
12761147-123b-4740-8837-54854525caf0,20240619,知识库精选,知识库精选- 6 月 19 日,2024-06-20T10:29:56.887Z,"https://assets.waytoagi.com/usercontent/6013189d_f929_48fe_be62_ff092b598e47_d4792190f9.png?t=12761147-123b-4740-8837-54854525caf0&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240619,"1. Rodin Gen 1：接近生产级别的的3D生成模型
2. AI 需要开创性的用户界面和产品: 从苹果说起，深度访谈 Daniel Gross 和 Nat Friedman
3. RAG性能提升策略和评估方法（产品视角）
4. Meta刚发布六项新东西
5. 《视频模型：Hedra》最新发布的模型可以做到口型自然完美匹配"
1f5392bb-729f-49df-9518-954ff1da728d,20240618,知识库精选,知识库精选- 6 月 18 日,2024-06-19T01:02:44.655Z,"https://assets.waytoagi.com/usercontent/Xnapper_2024_06_18_09_46_55_e3942637e2.png?t=1f5392bb-729f-49df-9518-954ff1da728d&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240618,"1. 南瓜博士：让 AI 画了十万只猫后，我终于明白了人类的独特价值
2. AI 评分应用：给拥有12万名员工的客户做了个AI评分应用，客户：真准
3. 皮皮Peter：跨学科揭秘「OpenAI提示词工程六条策略背后的理论基础」
4. SOP+AI：作为小白，我是如何参与制作AI动画短片的？
5. 斯坦福 AI 时代的人生设计课
6. 歸藏老师的第 76 期 AIGC 周刊
7. 更新多份研究报告
8. 苹果 AI 揭秘：自研大模型会怎么用，和 OpenAI 是怎么合作的？"
67c1d266-a202-41bc-a4f7-3e16d71a3f99,20240617,知识库精选,知识库精选- 6 月 17 日,2024-06-18T01:35:09.934Z,"https://assets.waytoagi.com/usercontent/f55921c9_182e_4f53_9b2d_14b1c9a1369c_473b789837.png?t=67c1d266-a202-41bc-a4f7-3e16d71a3f99&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240617,"1. Joey: 上影全球AI电影马拉松/最佳叙事奖—种子创作思路分享
2.  Runway 即将推出第三代模型
3. 平庸且保守，但苹果或是 AI 落地的最大赢家
4. DeepMind 新研究 TransNAR：给模型嵌入「算法推理大脑」
5. LLM 最全「怪癖」首曝光！马里兰 OpenAI 等 30+学者祭出 75 页提示报告
6. YoYo：我在通往AGI的学习之路心得
7. 本周 19 日即将开启第三轮 Agent 共学活动"
5f635683-c318-4b9f-88bb-fd356cb21c12,20240616,知识库精选,知识库精选- 6 月 16 日,2024-06-17T01:11:17.839Z,"https://assets.waytoagi.com/usercontent/Xnapper_2024_06_16_10_41_04_286fde382a.png?t=5f635683-c318-4b9f-88bb-fd356cb21c12&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240616,"1. 洛水: 消息卡片，让 Coze 对话飞起来：一键掌握创建技巧
2. 《快手【可灵】大模型》的 PPT 介绍
3. 迄今为止最强 ChatGPT 学术优化开源项目 GPT Academic"
82a6b686-88df-4d20-bf72-1ee73e1c3548,20240615,知识库精选,知识库精选- 6 月 15 日,2024-06-16T12:37:05.151Z,"https://assets.waytoagi.com/usercontent/Xnapper_2024_06_15_22_52_07_500c5f8ce2.png?t=82a6b686-88df-4d20-bf72-1ee73e1c3548&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240615,"1. Luma运动镜头词测试
2. 海通国际：中国互联网行业：“人工智能+”引爆新质生产力革命
3. 李飞飞六月对话马克·安德森 | 万字全文 · HAI研究所5周年会议现场"
c2920f6a-97ee-4cca-8e77-e8bd35657c9b,20240614,知识库精选,知识库精选- 6 月 14 日,2024-06-15T03:36:28.240Z,"https://assets.waytoagi.com/usercontent/Xnapper_2024_06_14_14_00_08_07f22bc6a5.png?t=c2920f6a-97ee-4cca-8e77-e8bd35657c9b&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240614,"1. 2024中国人工智能城市竞争力排行研究报告
2. 《艾小喵绘本》-基于扣子的全自动绘本创作Agent
3. 2024 北京智源大会 图文直播"
e4278284-5c2d-4261-9fe2-1f2a93a55a81,20240613,知识库精选,知识库精选- 6 月 13 日,2024-06-14T07:52:34.030Z,"https://assets.waytoagi.com/usercontent/Xnapper_2024_06_13_10_32_34_c5c770da2b.png?t=e4278284-5c2d-4261-9fe2-1f2a93a55a81&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240613,"1. 探讨大模型未来：从Scaling Law到数据红利再到终极Token工厂
2. 小白如何理解技术原理与建立框架（通俗易懂内容推荐）
3. 智变时代 / 全面理解机器智能与生成式 AI 加速的新工业革命
4. 文生图大模型基准测评首期榜单公布，DALL-E 3取得最高76.94分
5.  Luma、Suno 等众多AI产品发布"
2b804c7b-f7c7-4540-a3e8-b8c753eb33c0,20240612,知识库精选,知识库精选- 6 月 12 日,2024-06-13T01:23:47.247Z,"https://assets.waytoagi.com/usercontent/Xnapper_2024_06_12_22_19_15_725f68945c.png?t=2b804c7b-f7c7-4540-a3e8-b8c753eb33c0&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240612,"1. Stable Diffusion 3 已开源
2. 再谈谈三万亿的破绽
3. 皮皮：你的微信虚拟女友 - 李洛云
4. AI 秒学团队：儿童新闻百事通
5. 歸藏老师的新一期 AIGC 周刊来了
6. 【图像流】用Coze的工作流创建随便虐的室内设计师"
5893043a-5e85-4fb2-abe8-3b0835b13aa9,20240611,知识库精选,知识库精选- 6 月 11 日,2024-06-12T01:40:08.991Z,"https://assets.waytoagi.com/usercontent/Xnapper_2024_06_11_22_27_45_d1e25085ab.png?t=5893043a-5e85-4fb2-abe8-3b0835b13aa9&image_process=resize,w_506",https://blog.waytoagi.com/article/news-20240611,"1. 从2023 年报，看中国上市公司怎么使用生成式AI
2. 如何通过 AI 赚到一台华为 Pad
3. 汤森路透：专业人士未来报告-亚洲及新兴市场版
4. 图解自注意力机制(Self-Attention)
5. 第七讲：如何打造用户热爱的产品 - 和用户谈恋爱
6. 创业投资二十年，Sam Altman 如何一步步取得今天的成就"
